	id	tweet
1156	1464019988206034944	BREAKING:Aboriginals HUNTED BY MILITARY Kids JABBED BY FORCE https://t.co/L8GIFFjojf THIS IS  HAPPENING HERE IN CANADA ....PEOPLE YOU HAVE TO STAND UP NOW...THIS WILL HAPPEN TO THE WORLD..#COVID19 #Coinbase #Cowboys #Ontario #Canada #Canadiens  #VAXXED #VAXXTIME #vaccination #VAX
1157	1464020767566282752	#bcpoli #cdnpoli Not sure where is the end...New COVID variant form SA, called B.1.1.529, which is deadlier than Delta has been  discovered- it was mutated 32 times...  https://t.co/K71ggIM7Hm 2022 will be deadlier than 2021 - get vaccinated. We need to make vaccine mandatory.
1158	1463658564455702529	CANADIANS WAKEUp &amp; Smell the Coffee Covid news: WHO tells fully vaccinated to wear masks, physically distance https://t.co/gpFq14DzYg
1159	1463657768481693696	14 babies contract COVID-19 https://t.co/xzuC8ILdB5
1160	1463295465609441283	I’m BOOSTIN’, y’all  #Moderna Dose Tres Leches https://t.co/OL0WVd6TGn
1161	1464020138248843264	At midnight with Daisy - the UK urgently brings in travel restrictions to stop the spread of what scientists are describing as the worst Covid variant they've seen so far.
1162	1464019436269039619	I am one new Covid-19 variant away from becoming a Doomsday Prepper.
1163	1463295309887717376	InnovationRx: Covid And Thanksgiving Travel; Plus, America’s Largest Private Companies - Medical supply company Medline Industries was the top healthcare company on the list coming in at #16 with $17.5 billion in revenue,... - https://t.co/a6Wice6Re4 https://t.co/FBgFx5d7jC
1164	1463657529934856198	"Having a ""healthy debate"" about mandatory clotshotting. Mr Robb Butler can go and fuck himself and his shitty ideas. The language of calling it a ""healthy"" debate as well. Orwellian https://t.co/hgDI0B8578"
1165	1463295809605169152	Malaysia health experts warn of possible fourth Covid-19 wave after Melaka elections https://t.co/LaWchXf5N6
1166	1463657393707839490	Oregon covid breakthrough report  https://t.co/XeQbuUGePL https://t.co/ann9lrfjhH
1167	1463657537237041162	not good... Scientists warn of new Covid variant with high number of mutations https://t.co/j7AcfM6ime
1168	1463658638422204417	After a covid filled 2 years…. The #buffaloturkeytrot is back for all!! #Tradition #ThanksgivingDay #gobblegobble🦃 https://t.co/gcBN1abHfy
1169	1463295606584012810	#Europe #Health #Coronavirus #COVID19 @WHO —&gt; WHO Europe warns of possible surge in COVID deaths ahead - ABC News - https://t.co/Y6pUneIDpE via @ABC
1170	1463658336256069636	B.C. records 9 more deaths, 322 new COVID-19 infections https://t.co/adD2CpS58G
1171	1463295524996534274	Week 12 Guests Takeaway: @GLIS_739  #glis739 Because of Covid, a lot of libraries are buying e-materials (e-books, e-audiobooks, and e-DVD). The NYPL, after 2008, started to do things differently where branches will have a budget each year and they will use that to buy stuff.
1172	1463657404697124867	Oklahoma Health Dept. Addresses Plateauing COVID Cases, Public Health Lab Report, Holiday Trends https://t.co/9cBMJyhmLv
1173	1463295565052407808	https://t.co/evHnDiVIwi U.S. Has Lost More Lives to Covid This Year Than Last Our Hashtag https://t.co/X2qVMafRHg 2020 #FWN #freeworldnews #today
1174	1464019827052404736	#BryanAdams tests positive for #COVID twice in less than 30 days https://t.co/HQmmf4S1R2
1175	1464020985171128320	Not good!  https://t.co/kzXO9m9nTR
1176	1463657780070526978	Michael Flynn claims 'global elites' plan new virus because 'COVID tyranny' didn't work https://t.co/uOuHUWDzZz
1177	1463296108227141632	Seven doctors contract Covid after attending Florida anti-vaccine summit - Democratic Underground https://t.co/uHn2h1yikU via @demunderground
1178	1464019506846572551	Regardless of your thoughts on the covid response, I think we can all agree that passing any legislation, let alone one that restricts movements and activities for certain groups under all stages urgency is simply unacceptable. We've had a long time to prep for this.
1179	1464020764978466816	RTE news : Pfizer jab efficacy wanes 3 months after second dose  https://t.co/62t3vl7Jla
1180	1463295737500995587	Biden’s policy’s are a disaster. His infrastructure, green new deal and Covid mandates are a direct target at the middle class. Tax Tax Tax, can everyone else see the same thing?
1181	1464020763858587656	I can’t believe what I’m seeing on @facebookapp!!! A whole group dedicated to ‘curing’ #covid19 naturally &amp; they r offering false vaccine cards to the unvaccinated!!! Despicable! How can this sort of thing be allowed to remain on Fb?!! Please #getvaccinated &amp; #wearamask
1182	1463658393575432194	#Christmas is commercialised, it used to be a religious occasion but now it’s all about money ! History will talk about how #COVID19 was commercialised as well in 2020/21 ! Vaccine companies banned any successful treatment with the help of FDA, WHO ,CDC and weak governments
1183	1463295835987451907	Steve Burton fired from 'General Hospital' for refusal to get COVID-19 vaccine https://t.co/8okli8bUe7
1184	1463296204603674630	Covid-19 https://t.co/1ghWT8GXRZ
1185	1463294905363701761	Ticker: MIT provost to RPI as next president; Merck seeks EU OK for anti-COVID pill https://t.co/uo8gj2edOn
1186	1464020133597388802	We are protect our self from covid 19 and terrorist attacks in our zone. https://t.co/qAeKGIJfjd
1187	1463657800106749955	This was during the time that we had like 5 tests available per capita… we somehow utilized our limited resources to diagnose fucking tigers and lions in the Bronx with Covid-19. Girl bye
1188	1463295841444278275	Pfizer Vaccine 100% Effective In Adolescents After 4 Months, Says Company https://t.co/KUhT7IxEOV
1189	1463295536723894275	Victoria records 1,196 new Covid cases and three deaths as the 90 percent vaccination milestone approaches https://t.co/ZJGUWI73lw
1190	1463657960098471940	C0VID isn't the first virus to be spread by V@××'s reccomended by #BMGF/GAVI/ #WHO- India, DRC, Nigeria, Sudan, Chad, Ethiopia, Cameroon, Eritrea...  This is probably why Africa has a lower COVID rate, they've learned to be skeptical of vaxx's endorsed by rhe above organizations. https://t.co/YS02ZHHM3D
1191	1463658239598338056	C19 deaths per CDC.   For 1 or younger, 35,000 deaths from all causes; only 47 are C19  source https://t.co/zV6970MRzR https://t.co/BSxH9qkXuL
1192	1463295326857711619	Do you see it yet? #socialcredit #COVID19 #AI #Agenda21   Headup Systems - https://t.co/AlSIIlTRru  Patent - https://t.co/xvHs1KErL1 https://t.co/V862sJhDvU
1193	1463295426585583621	B.C. is reporting 324 new cases of COVID-19, including four epi-linked cases, for a total of 216,012 cases in the province.  There are 3,047 active cases of COVID-19 in the province. https://t.co/YFThYp20IR
1194	1464019404199501826	Talks to waive patents on Covid vaccines are ‘stuck’, WTO head warns https://t.co/fmoH3Dr7By
1195	1463295561923284997	"No to a fan of Jamie Hughes but to miss out over COVID. Hearts bleeds for him . Anyway good luck @JelleK180  .  ""Entertainment "" https://t.co/2MOEKIpbnE"
1196	1464020198223192069	the covid-delta-plus-rewards variant lmao  #SouthParkPostCovid
1197	1464020514108751882	CoVid Vaccines Prevent Long CoVid https://t.co/ibc1YOG8NF
1198	1463657299906547718	Liberals introduce new bill with $7.4B in pandemic aid for businesses, workers https://t.co/G6fmRVmJyW #cdnpoli #COVID19
1199	1463658312927522818	No mention of the jab of course but they do mention it could be covid related. Considering covid has been around for 2 years and the jab for a few months it would make sense to question the jab right? https://t.co/OtaPnJH8d1
